image,label
ea7b6656-3f84-4eb3-9099-23e623fc1018,Top
ea2ffd4d-9b25-4ca8-9dc2-bd27f1cc59fa,Top
3b86d877-2b9e-4c8b-a6a2-1d87513309d0,Shoes
5d3a1404-697f-479f-9090-c1ecd0413d27,Bottoms
b0c03127-9dfb-4573-8934-1958396937bf,Top
4c8f245e-a039-46fd-a6b9-1bb51e83fc05,Top
c995c900-693d-4dd6-8995-43f3051ec488,Bottoms
bf78527f-0734-44fd-a968-f6c32c12d61e,Shoes
70045b01-b350-4918-be74-2f627290ad7a,Bottoms
61bbb3a2-2ee0-47bd-b3f9-2675b3076302,Shoes
08215318-faff-4037-bee9-5bceb0af7747,Shoes
95609fcf-b2c2-4f35-8454-a308262e30ea,Top
04b42565-23ce-47d9-8f11-e3f1fb0d5051,Top
5dcffea5-5111-4397-b9ed-313b41bdeea8,Bottoms
1b2ace0a-382e-4b87-8e9d-35cbcfac636b,Top
d44cfac9-3fda-47ba-8eb1-8b130f60b08c,Bottoms
97074b7f-706a-4c17-b875-bd9baa5bed0e,Bottoms
6ba8aeb1-a812-4bd7-a0b3-d898aebe3400,Top
534cb9e4-658e-48a9-a9d9-365149ee52e8,Top
5805e9ba-176c-461b-87f7-ff400291d0fc,Top
be698ba0-7a2c-4f38-84ea-6223dc15854d,Top
a3e5af58-cc70-48b8-85f7-cd160ba95968,Shoes
8f6822c3-862b-4126-9a35-585569aec240,Top
84a4a5a4-fb02-4009-916d-7e82d65c3e12,Bottoms
30feae84-c7b1-4e72-8b42-0f7736d42cd5,Shoes
f968404d-6c3a-465e-9edd-347784880455,Top
f8b84112-9110-4628-91e8-9d22a13767f3,Bottoms
c395de85-824c-4cbe-ad6b-ed80f5c15fb7,Top
5dc34a85-d7f8-45bc-b922-2eae1a704f4b,Bottoms
4acdd295-b0b4-4991-a6cd-c9d2c322c347,Top
f2ae0355-82ec-4363-ac61-470d7f422a45,Top
073f2d48-e363-474d-acbe-11103356e7e2,Bottoms
a283e901-d8da-4be1-91ae-2a3c94de48a2,Hat
30b6fd9b-d172-4d5d-a1c1-c36d23f769dd,Shoes
d8445328-a318-434b-9c4e-fa29cf04be41,Top
5f2c69cd-918b-4ee0-9e74-7fa12d5095ab,Bottoms
c4f11a12-2fcd-4268-8045-5a00aec7e656,Bottoms
330f1f98-0d3d-4c64-bd82-518e6e157d08,Top
fb145f9c-024a-4177-ae55-4ef413756ee9,Top
e85b5945-e8d0-4049-84b4-22ff5907ec8e,Top
49d3b29c-54b9-4cae-b918-504cf24ce128,Shoes
d748ed88-9bf7-402e-98a9-7a4c65582e48,Shoes
29d44695-c6b6-4b76-8ac9-12032990ba5f,Top
fc739085-2b1b-4176-b255-eebf690c486a,Top
